,Country.Name,Country.Code,Indicator.Name,Indicator.Code,Year,CO2.Emission
29,Austria,AUT,CO2 emissions (kt),EN.ATM.CO2E.KT,2000,62283.995
30,Belgium,BEL,CO2 emissions (kt),EN.ATM.CO2E.KT,2000,115118.131
31,Bulgaria,BGR,CO2 emissions (kt),EN.ATM.CO2E.KT,2000,43530.957
32,Cyprus,CYP,CO2 emissions (kt),EN.ATM.CO2E.KT,2000,6930.63
33,Czech Republic,CZE,CO2 emissions (kt),EN.ATM.CO2E.KT,2000,123849.258
34,Germany,DEU,CO2 emissions (kt),EN.ATM.CO2E.KT,2000,829977.779
35,Denmark,DNK,CO2 emissions (kt),EN.ATM.CO2E.KT,2000,51330.666
36,Spain,ESP,CO2 emissions (kt),EN.ATM.CO2E.KT,2000,294434.431
37,Estonia,EST,CO2 emissions (kt),EN.ATM.CO2E.KT,2000,14858.684
38,Finland,FIN,CO2 emissions (kt),EN.ATM.CO2E.KT,2000,52427.099
39,France,FRA,CO2 emissions (kt),EN.ATM.CO2E.KT,2000,362226.26
40,United Kingdom,GBR,CO2 emissions (kt),EN.ATM.CO2E.KT,2000,541784.582
41,Greece,GRC,CO2 emissions (kt),EN.ATM.CO2E.KT,2000,91616.328
42,Croatia,HRV,CO2 emissions (kt),EN.ATM.CO2E.KT,2000,19339.758
43,Hungary,HUN,CO2 emissions (kt),EN.ATM.CO2E.KT,2000,55826.408
44,Ireland,IRL,CO2 emissions (kt),EN.ATM.CO2E.KT,2000,41228.081
45,Italy,ITA,CO2 emissions (kt),EN.ATM.CO2E.KT,2000,450564.29
46,Lithuania,LTU,CO2 emissions (kt),EN.ATM.CO2E.KT,2000,12163.439
47,Luxembourg,LUX,CO2 emissions (kt),EN.ATM.CO2E.KT,2000,8239.749
48,Latvia,LVA,CO2 emissions (kt),EN.ATM.CO2E.KT,2000,6351.244
49,Malta,MLT,CO2 emissions (kt),EN.ATM.CO2E.KT,2000,2064.521
50,Netherlands,NLD,CO2 emissions (kt),EN.ATM.CO2E.KT,2000,173504.105
51,Poland,POL,CO2 emissions (kt),EN.ATM.CO2E.KT,2000,299289.539
52,Portugal,PRT,CO2 emissions (kt),EN.ATM.CO2E.KT,2000,62731.369
53,Romania,ROU,CO2 emissions (kt),EN.ATM.CO2E.KT,2000,90681.243
54,Slovak Republic,SVK,CO2 emissions (kt),EN.ATM.CO2E.KT,2000,35885.262
55,Slovenia,SVN,CO2 emissions (kt),EN.ATM.CO2E.KT,2000,14396.642
56,Sweden,SWE,CO2 emissions (kt),EN.ATM.CO2E.KT,2000,49350.486
57,Austria,AUT,CO2 emissions (kt),EN.ATM.CO2E.KT,2001,65888.656
58,Belgium,BEL,CO2 emissions (kt),EN.ATM.CO2E.KT,2001,114527.744
59,Bulgaria,BGR,CO2 emissions (kt),EN.ATM.CO2E.KT,2001,46453.556
60,Cyprus,CYP,CO2 emissions (kt),EN.ATM.CO2E.KT,2001,6846.289
61,Czech Republic,CZE,CO2 emissions (kt),EN.ATM.CO2E.KT,2001,123720.913
62,Germany,DEU,CO2 emissions (kt),EN.ATM.CO2E.KT,2001,853662.932
63,Denmark,DNK,CO2 emissions (kt),EN.ATM.CO2E.KT,2001,52918.477
64,Spain,ESP,CO2 emissions (kt),EN.ATM.CO2E.KT,2001,297830.073
65,Estonia,EST,CO2 emissions (kt),EN.ATM.CO2E.KT,2001,15570.082
66,Finland,FIN,CO2 emissions (kt),EN.ATM.CO2E.KT,2001,57051.186
67,France,FRA,CO2 emissions (kt),EN.ATM.CO2E.KT,2001,377535.985
68,United Kingdom,GBR,CO2 emissions (kt),EN.ATM.CO2E.KT,2001,545862.286
69,Greece,GRC,CO2 emissions (kt),EN.ATM.CO2E.KT,2001,93805.527
70,Croatia,HRV,CO2 emissions (kt),EN.ATM.CO2E.KT,2001,20395.854
71,Hungary,HUN,CO2 emissions (kt),EN.ATM.CO2E.KT,2001,56977.846
72,Ireland,IRL,CO2 emissions (kt),EN.ATM.CO2E.KT,2001,44029.669
73,Italy,ITA,CO2 emissions (kt),EN.ATM.CO2E.KT,2001,450347.937
74,Lithuania,LTU,CO2 emissions (kt),EN.ATM.CO2E.KT,2001,12885.838
