,Country.Name,Country.Code,Indicator.Name,Indicator.Code,Year,CO2.Emission.PC
29,Austria,AUT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2000,7.774259739
30,Belgium,BEL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2000,11.2296677
31,Bulgaria,BGR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2000,5.328034342
32,Cyprus,CYP,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2000,7.347326262
33,Czech Republic,CZE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2000,12.07688904
34,Germany,DEU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2000,10.09563988
35,Denmark,DNK,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2000,9.613175554
36,Spain,ESP,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2000,7.257824346
37,Estonia,EST,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2000,10.63625164
38,Finland,FIN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2000,10.12847414
39,France,FRA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2000,5.946665463
40,United Kingdom,GBR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2000,9.199549233
41,Greece,GRC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2000,8.47843382
42,Croatia,HRV,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2000,4.369579304
43,Hungary,HUN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2000,5.467296695
44,Ireland,IRL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2000,10.83474264
45,Italy,ITA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2000,7.912673166
46,Lithuania,LTU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2000,3.475729068
47,Luxembourg,LUX,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2000,18.88551226
48,Latvia,LVA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2000,2.682622965
49,Malta,MLT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2000,5.292462963
50,Netherlands,NLD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2000,10.89472628
51,Poland,POL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2000,7.822798329
52,Portugal,PRT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2000,6.096403385
