,Country.Name,Country.Code,Indicator.Name,Indicator.Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1,Austria,AUT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,7.774259739,8.192769898,8.299115796,8.889562334,8.858363703,9.020169598,8.727297872,8.406418936,8.295095978,7.518751102,8.071131802,7.748134305,7.387077163,7.368748145,6.86986793
2,Belgium,BEL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,11.2296677,11.13371551,10.3854951,10.88211417,10.66129022,10.35539299,10.151039,9.744777191,9.751984809,9.249615685,10.17146522,9.046560547,8.546478214,8.671352487,8.328159898
3,Bulgaria,BGR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.328034342,5.800066474,5.695266947,6.084370085,6.064891808,6.256282044,6.445333272,6.925435282,6.772087541,5.731193724,5.964900206,6.71538056,6.119456526,5.450695963,5.871615869
4,Cyprus,CYP,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,7.347326262,7.129456764,7.187870407,7.798570398,7.258439643,7.300757645,7.449680491,7.704853381,7.930294398,7.386924038,6.927903563,6.60156823,6.096256416,5.199663256,5.260352041
5,Czech Republic,CZE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,12.07688904,12.10978725,11.7437029,11.97368903,11.4518445,11.76245004,11.92582928,11.97251522,11.23377283,10.30832179,10.65257862,10.18548225,9.611985879,9.384891603,9.165978376
6,Germany,DEU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,10.09563988,10.3662867,10.0586725,9.969354525,9.898682369,9.666372234,9.911476012,9.488039888,9.506321178,8.818595562,9.279634012,9.12485921,9.199299757,9.39062342,8.889370395
7,Denmark,DNK,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,9.613175554,9.875092348,9.68193193,10.38827349,9.362701019,8.690076931,10.11291416,9.20201511,8.543351098,8.058895601,8.40721667,7.296383208,6.514800847,6.862565032,5.935712482
8,Spain,ESP,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,7.257824346,7.290748328,7.591280782,7.611166445,7.908050681,8.097058048,7.88419571,7.920890716,7.165531607,6.216973378,5.816416366,5.788018458,5.660938803,5.084398353,5.033824487
9,Estonia,EST,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,10.63625164,11.21670899,10.79350419,12.49335386,12.68399031,12.36701519,12.00996206,13.95488409,13.08183443,10.91432018,13.59968907,14.01673297,13.32400037,15.09371797,14.84881917
10,Finland,FIN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,10.12847414,10.9967421,11.86067583,13.26109694,12.83267498,10.41643805,12.57063845,12.09848186,10.63715919,9.955194272,11.57528165,10.54447474,9.075433356,8.681780123,8.660721243
11,France,FRA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.946665463,6.153060599,6.068664472,6.115998108,6.120078568,6.099598855,5.906266386,5.76638517,5.690501415,5.438356727,5.428980862,5.077911491,5.075063887,5.062174035,4.573182147
12,United Kingdom,GBR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,9.199549233,9.233174987,8.904123108,9.053277839,8.989140127,8.982938536,8.89871022,8.617163681,8.424423983,7.574622131,7.857836486,7.079297626,7.355898277,7.145844359,6.49744049
13,Greece,GRC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,8.47843382,8.636014274,8.591970187,8.760745127,8.867967195,8.980839448,8.827796219,8.892293442,8.662824281,8.277892345,7.540183868,7.189762915,7.247007359,6.33661459,6.180337268
14,Croatia,HRV,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.369579304,4.593660811,4.836475676,5.176746847,5.040782609,5.086084421,5.091679054,5.371543282,5.094677245,4.778855554,4.566131051,4.627629816,4.21645564,4.123953137,3.973804906
15,Hungary,HUN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.467296695,5.592875675,5.518941473,5.82981044,5.684910755,5.751848927,5.698187039,5.572459521,5.463501182,4.840111448,5.022311649,4.797900003,4.494128944,4.259659831,4.265574976
16,Ireland,IRL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,10.83474264,11.38823116,11.04125081,10.6811767,10.75163663,10.4661517,10.0993731,10.14752888,9.577641293,8.889010942,8.783613934,7.77982216,7.738155591,7.538110297,7.313939808
17,Italy,ITA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,7.912673166,7.904432663,7.932323042,8.17175128,8.216487201,8.166090128,8.072145596,7.917347216,7.60176497,6.795651486,6.83837457,6.702557614,6.205413858,5.732941879,5.270866786
18,Lithuania,LTU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.475729068,3.712622788,3.817099115,3.754816757,3.922093528,4.184042091,4.329871871,4.693696086,4.69291649,3.958100057,4.348616303,4.553301311,4.629509672,4.273657237,4.378090123
