,Country.Name,Country.Code,Indicator.Name,Indicator.Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1,Austria,AUT,CO2 emissions (kt),EN.ATM.CO2E.KT,62283.995,65888.656,67073.097,72195.896,72390.247,74216.413,72162.893,69735.339,69027.608,62731.369,67502.136,65019.577,62272.994,62485.68,58712.337
2,Belgium,BEL,CO2 emissions (kt),EN.ATM.CO2E.KT,115118.131,114527.744,107311.088,112914.264,111102.766,108510.197,107072.733,103545.079,104443.494,99863.411,110824.074,99944.085,95107.312,96970.148,93350.819
3,Bulgaria,BGR,CO2 emissions (kt),EN.ATM.CO2E.KT,43530.957,46453.556,44634.724,47307.967,46801.921,47916.689,48991.12,52254.75,50740.279,42665.545,44114.01,49346.819,44708.064,39599.933,42416.189
4,Cyprus,CYP,CO2 emissions (kt),EN.ATM.CO2E.KT,6930.63,6846.289,7022.305,7748.371,7334,7502.682,7788.708,8195.745,8577.113,8111.404,7708.034,7425.675,6919.629,5947.874,6061.551
5,Czech Republic,CZE,CO2 emissions (kt),EN.ATM.CO2E.KT,123849.258,123720.913,119749.552,122059.762,116775.615,120108.918,122107.433,123302.875,116658.271,107659.453,111579.476,106907.718,101029.517,98675.303,96475.103
6,Germany,DEU,CO2 emissions (kt),EN.ATM.CO2E.KT,829977.779,853662.932,829724.756,822812.461,816802.248,797180.131,816472.218,780546.619,780564.954,722263.321,758859.981,732497.918,739861.254,757312.507,719883.438
7,Denmark,DNK,CO2 emissions (kt),EN.ATM.CO2E.KT,51330.666,52918.477,52049.398,55998.757,50600.933,47095.281,54986.665,50256.235,46933.933,44510.046,46640.573,40645.028,36427.978,38532.836,33498.045
8,Spain,ESP,CO2 emissions (kt),EN.ATM.CO2E.KT,294434.431,297830.073,314518.59,321097.188,339428.521,353462.13,350037.152,358236.564,329285.599,288237.201,270910.626,270547.593,264779.402,237034.88,233976.602
9,Estonia,EST,CO2 emissions (kt),EN.ATM.CO2E.KT,14858.684,15570.082,14888.02,17124.89,17282.571,16754.523,16175.137,18709.034,17491.59,14565.324,18107.646,18606.358,17623.602,19893.475,19519.441
10,Finland,FIN,CO2 emissions (kt),EN.ATM.CO2E.KT,52427.099,57051.186,61682.607,69130.284,67091.432,54645.634,66200.351,63985.483,56519.471,53149.498,62082.31,56816.498,49134.133,47219.959,47300.633
11,France,FRA,CO2 emissions (kt),EN.ATM.CO2E.KT,362226.26,377535.985,375075.428,380689.605,383758.884,385368.697,375764.824,369142.222,366325.966,351899.988,353033.091,331804.828,333227.624,334096.703,303275.568
12,United Kingdom,GBR,CO2 emissions (kt),EN.ATM.CO2E.KT,541784.582,545862.286,528642.054,540006.087,539239.684,542580.321,541458.219,528425.701,520688.331,471719.213,493207.833,447828.708,468572.927,458250.322,419820.162
13,Greece,GRC,CO2 emissions (kt),EN.ATM.CO2E.KT,91616.328,93805.527,93669.848,95738.036,97149.831,98675.303,97285.51,98246.264,95965.39,91942.691,83856.956,79841.591,80043.276,69482.316,67318.786
14,Croatia,HRV,CO2 emissions (kt),EN.ATM.CO2E.KT,19339.758,20395.854,21473.952,22984.756,22376.034,22592.387,22607.055,23828.166,22592.387,21165.924,20172.167,19809.134,17993.969,17550.262,16842.531
15,Hungary,HUN,CO2 emissions (kt),EN.ATM.CO2E.KT,55826.408,56977.846,56064.763,59053.368,57458.223,58019.274,57388.55,56035.427,54843.652,48510.743,50223.232,47843.349,44583.386,42141.164,42086.159
16,Ireland,IRL,CO2 emissions (kt),EN.ATM.CO2E.KT,41228.081,44029.669,43413.613,42687.547,43761.978,43538.291,43160.59,44638.391,42999.242,40314.998,40054.641,35632.239,35591.902,34854.835,34066.43
17,Italy,ITA,CO2 emissions (kt),EN.ATM.CO2E.KT,450564.29,450347.937,452610.476,468349.24,473970.751,473384.031,469346.664,462676.391,447186.983,401591.505,405361.181,397994.178,369468.585,345317.723,320411.459
18,Lithuania,LTU,CO2 emissions (kt),EN.ATM.CO2E.KT,12163.439,12885.838,13142.528,12823.499,13245.204,13901.597,14158.287,15166.712,15009.031,12519.138,13468.891,13787.92,13831.924,12640.149,12838.167
19,Luxembourg,LUX,CO2 emissions (kt),EN.ATM.CO2E.KT,8239.749,8800.8,9416.856,9904.567,11268.691,11547.383,11349.365,11019.335,10938.661,10392.278,10967.997,10938.661,10663.636,10051.247,9658.878
20,Latvia,LVA,CO2 emissions (kt),EN.ATM.CO2E.KT,6351.244,6985.635,6912.295,7370.67,7403.673,7506.349,8012.395,8316.756,7902.385,7231.324,8074.734,7293.663,7062.642,7080.977,6974.634
