Country.Name,Country.Code,Year,CO2.Emission,CO2.Emission.PC,CO2.Emission.Level,GDP.PC,Health.GDP,Life.Exp,Infant.Mort,Infant.Dea,Population,Area,Size
Austria,AUT,2000,62283.995,7.774259739,Middle,3.127436477,9.22142994,78.12682927,4.6,371,8011566,82580,Normal
Austria,AUT,2001,65888.656,8.192769898,Mid-High,0.880261369,9.28751266,78.57560976,4.5,359,8042293,82580,Normal
Austria,AUT,2002,67073.097,8.299115796,Mid-High,1.152671839,9.41272066,78.67804878,4.4,348,8081957,82580,Normal
Austria,AUT,2003,72195.896,8.889562334,Mid-High,0.450948907,9.58291804,78.63170732,4.3,337,8121423,82580,Normal
Austria,AUT,2004,72390.247,8.858363703,Mid-High,2.099709475,9.64729219,79.1804878,4.2,326,8171966,82580,Normal
Austria,AUT,2005,74216.413,9.020169598,Mid-High,1.549878794,9.58190549,79.33170732,4.1,314,8227829,82580,Normal
Austria,AUT,2006,72162.893,8.727297872,Mid-High,2.943417059,9.4818364,79.8804878,3.9,304,8268641,82580,Normal
Austria,AUT,2007,69735.339,8.406418936,Mid-High,3.391730702,9.47828009,80.1804878,3.8,297,8295487,82578,Normal
Austria,AUT,2008,69027.608,8.295095978,Mid-High,1.143308632,9.63474273,80.43170732,3.8,291,8321496,82578,Normal
Austria,AUT,2009,62731.369,7.518751102,Middle,-4.016342341,10.14206027,80.33170732,3.7,285,8343323,82578,Normal
Austria,AUT,2010,67502.136,8.071131802,Mid-High,1.592578041,10.11228382,80.5804878,3.6,280,8363404,82571,Normal
Austria,AUT,2011,65019.577,7.748134305,Middle,2.57644867,9.90937053,80.98292683,3.5,273,8391643,82561,Normal
Austria,AUT,2012,62272.994,7.387077163,Middle,0.22244938,10.13021724,80.93658537,3.3,266,8429991,82554,Normal
Austria,AUT,2013,62485.68,7.368748145,Middle,-0.562299551,10.18611195,81.13658537,3.2,260,8479823,82531,Normal
Austria,AUT,2014,58712.337,6.86986793,Middle,0.043786683,10.28596661,81.4902439,3.1,255,8546356,82523,Normal
Belgium,BEL,2000,115118.131,11.2296677,High,3.382626314,7.94200339,77.72195122,4.9,553,10251250,30280,Normal
Belgium,BEL,2001,114527.744,11.13371551,High,0.465396765,8.10533207,77.97317073,4.7,534,10286570,30280,Normal
Belgium,BEL,2002,107311.088,10.3854951,High,1.325277038,8.26350135,78.07560976,4.5,518,10332785,30280,Normal
Belgium,BEL,2003,112914.264,10.88211417,High,0.353564926,9.08952933,78.12926829,4.3,503,10376133,30280,Normal
Belgium,BEL,2004,111102.766,10.66129022,High,3.187131123,9.10842554,78.87804878,4.3,499,10421137,30280,Normal
Belgium,BEL,2005,108510.197,10.35539299,High,1.534238995,9.02350513,78.9804878,4.1,487,10478617,30280,Normal
Belgium,BEL,2006,107072.733,10.151039,High,1.83227715,8.92097795,79.3804878,4,483,10547958,30280,Normal
