,Country.Name,Country.Code,Indicator.Name,Indicator.Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1,Austria,AUT,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.127436477,0.880261369,1.152671839,0.450948907,2.099709475,1.549878794,2.943417059,3.391730702,1.143308632,-4.016342341,1.592578041,2.57644867,0.22244938,-0.562299551,0.043786683
2,Belgium,BEL,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.382626314,0.465396765,1.325277038,0.353564926,3.187131123,1.534238995,1.83227715,2.692098469,-0.009854203,-3.036489674,1.809776856,0.396258392,-0.490304014,-0.288318453,1.056141338
3,Bulgaria,BGR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,5.460133448,5.856598353,8.262240877,5.9924829,7.241768715,7.933171408,7.689165792,8.136615286,6.768693063,-2.962963764,1.993279538,2.57051343,0.612051095,1.428219872,1.906338412
4,Cyprus,CYP,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,4.605801516,2.489999696,2.220905652,1.237982201,3.180830497,2.241217562,2.781022803,2.61259233,1.288334269,-4.374273984,-1.29760034,-2.206049098,-4.524162137,-5.715037527,-0.312564152
5,Czech Republic,CZE,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,4.559530329,3.296140657,1.848772611,3.632645491,4.874640468,6.386207215,6.564559092,4.988202195,1.834145073,-5.343397791,1.975868189,1.567627263,-0.938553682,-0.516675079,2.607037043
6,Germany,DEU,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.822696604,1.524537695,-0.167987063,-0.764861234,1.191936522,0.763909706,3.817196752,3.39870617,1.274699038,-5.37941105,4.239504345,5.599481428,0.303518386,0.215722046,1.50565308
7,Denmark,DNK,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.400722038,0.462530611,0.145880086,0.117373434,2.403208255,2.055133635,3.572035729,0.462745499,-1.094850555,-5.413991945,1.419488116,0.920390598,-0.149947287,0.513432702,1.105414721
8,Spain,ESP,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,4.819364022,3.281734814,1.436815991,1.338243755,1.40190868,1.985476006,2.428012521,1.865813028,-0.482674966,-4.424062114,-0.445350775,-1.349930077,-2.990755144,-1.383096773,1.683527291
9,Estonia,EST,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,10.03454067,7.008146762,6.750451033,8.092451367,6.932101241,10.00140285,10.9240292,8.240850138,-5.165513258,-14.55986124,2.492551994,7.924443455,4.681290004,2.299973572,3.160902353
10,Finland,FIN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,5.415770114,2.347494292,1.434169687,1.751061795,3.624745135,2.428793345,3.656622696,4.738263812,0.252853935,-8.706689219,2.522229366,2.096442142,-1.89409884,-1.214215943,-1.041827134
11,France,FRA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.16612187,1.21513239,0.385759039,0.107470252,2.032373248,0.844673537,1.663664041,1.730142884,-0.363093901,-3.439413772,1.463158942,1.586713905,-0.301002036,0.059831492,0.464385588
12,United Kingdom,GBR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.294397029,2.150119224,2.025052232,2.845899829,1.78371343,2.390644137,1.705659242,1.562786241,-1.252779497,-4.909740527,0.900491453,0.662683265,0.778161519,1.371395549,2.280809345
13,Greece,GRC,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.495563615,3.591652802,3.542622806,5.542360849,4.801378733,0.304568132,5.335601875,3.010984003,-0.599389804,-4.552117255,-5.600777667,-8.997955016,-6.797860844,-2.537258522,1.413058085
14,Croatia,HRV,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,6.757163199,3.10825984,5.246474526,5.557907054,4.106258027,4.093352606,4.832461401,5.244820108,2.087701603,-7.270236568,-1.168357014,2.867772203,-1.945442651,-0.370944746,0.311605127
15,Hungary,HUN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,4.480230707,4.078972346,4.826275599,4.146503072,5.2376979,4.596027828,4.013012335,0.590470886,1.032263083,-6.455177065,0.910191644,1.950394911,-1.13451751,2.377745234,4.50887924
16,Ireland,IRL,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,8.109100455,4.132422633,4.53281466,1.453350166,4.748482142,3.721796583,2.714803591,2.210718729,-5.874566255,-5.590539849,1.248486081,2.536796695,-0.385849631,1.105065961,7.539384659
