,Country.Name,Country.Code,Indicator.Name,Indicator.Code,Year,Life.Exp
29,Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,78.12682927
30,Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,77.72195122
31,Bulgaria,BGR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,71.66341463
32,Cyprus,CYP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,78.01
33,Czech Republic,CZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,74.96829268
34,Germany,DEU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,77.92682927
35,Denmark,DNK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,76.59268293
36,Spain,ESP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,78.96585366
37,Estonia,EST,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,70.41707317
38,Finland,FIN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,77.46585366
39,France,FRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,79.05609756
40,United Kingdom,GBR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,77.74146341
41,Greece,GRC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,77.88780488
42,Croatia,HRV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,72.80780488
43,Hungary,HUN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,71.24634146
44,Ireland,IRL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,76.53658537
45,Italy,ITA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,79.77804878
46,Lithuania,LTU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,72.0195122
47,Luxembourg,LUX,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,77.87317073
48,Latvia,LVA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,70.31463415
49,Malta,MLT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,78.2
50,Netherlands,NLD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,77.98780488
51,Poland,POL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,73.74878049
52,Portugal,PRT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,76.31463415
53,Romania,ROU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,71.16341463
54,Slovak Republic,SVK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,73.05121951
55,Slovenia,SVN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,75.41219512
56,Sweden,SWE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,79.64390244
57,Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2001,78.57560976
58,Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2001,77.97317073
59,Bulgaria,BGR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2001,71.76829268
60,Cyprus,CYP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2001,78.14
61,Czech Republic,CZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2001,75.17317073
62,Germany,DEU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2001,78.32926829
63,Denmark,DNK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2001,76.79268293
64,Spain,ESP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2001,79.36829268
65,Estonia,EST,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2001,70.25853659
66,Finland,FIN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2001,77.96585366
67,France,FRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2001,79.15853659
68,United Kingdom,GBR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2001,77.99268293
69,Greece,GRC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2001,78.38780488
70,Croatia,HRV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2001,74.51292683
71,Hungary,HUN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2001,72.24878049
72,Ireland,IRL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2001,77.13414634
73,Italy,ITA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2001,80.12682927
74,Lithuania,LTU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2001,71.65853659
75,Luxembourg,LUX,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2001,77.82439024
76,Latvia,LVA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2001,70.76097561
77,Malta,MLT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2001,78.84390244
78,Netherlands,NLD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2001,78.1902439
79,Poland,POL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2001,74.2
80,Portugal,PRT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2001,76.81463415
81,Romania,ROU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2001,71.16097561
82,Slovak Republic,SVK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2001,73.40243902
83,Slovenia,SVN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2001,75.75853659
84,Sweden,SWE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2001,79.79512195
85,Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2002,78.67804878
86,Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2002,78.07560976
87,Bulgaria,BGR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2002,71.86585366
88,Cyprus,CYP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2002,78.264
89,Czech Republic,CZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2002,75.22195122
90,Germany,DEU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2002,78.22926829
91,Denmark,DNK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2002,76.89512195
92,Spain,ESP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2002,79.56829268
93,Estonia,EST,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2002,70.90487805
94,Finland,FIN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2002,78.1195122
95,France,FRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2002,79.26097561
96,United Kingdom,GBR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2002,78.14390244
97,Greece,GRC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2002,78.64146341
98,Croatia,HRV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2002,74.71731707
99,Hungary,HUN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2002,72.34878049
