,Country.Name,Country.Code,Indicator.Name,Indicator.Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1,Austria,AUT,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,4.6,4.5,4.4,4.3,4.2,4.1,3.9,3.8,3.8,3.7,3.6,3.5,3.3,3.2,3.1
2,Belgium,BEL,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,4.9,4.7,4.5,4.3,4.3,4.1,4,3.9,3.8,3.7,3.7,3.6,3.5,3.4,3.3
3,Bulgaria,BGR,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,14.4,13.8,13.1,12.5,11.7,11,10.4,9.9,9.6,9.3,9,8.7,8.3,7.8,7.4
4,Cyprus,CYP,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,5.7,5.3,5,4.6,4.3,4.1,3.8,3.6,3.4,3.2,3,2.8,2.7,2.5,2.4
5,Czech Republic,CZE,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,4.5,4.3,4.1,3.9,3.7,3.5,3.4,3.2,3,2.8,2.7,2.6,2.5,2.5,2.5
6,Germany,DEU,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,4.4,4.3,4.2,4.1,4,3.9,3.8,3.7,3.6,3.6,3.5,3.4,3.3,3.3,3.3
7,Denmark,DNK,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,4.6,4.5,4.4,4.3,4.2,4,3.8,3.8,3.6,3.5,3.5,3.5,3.5,3.5,3.6
8,Spain,ESP,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,4.3,4.3,4.2,4,4,3.8,3.7,3.6,3.4,3.3,3.1,3.1,3,2.9,2.8
9,Estonia,EST,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,8.8,8.1,7.4,6.8,6.2,5.7,5.2,4.7,4.3,4,3.6,3.3,3.1,2.9,2.6
10,Finland,FIN,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,3.5,3.4,3.3,3.3,3.2,3.1,3,2.8,2.7,2.6,2.5,2.4,2.3,2.2,2.1
11,France,FRA,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,4.4,4.3,4.2,4,3.9,3.8,3.7,3.6,3.6,3.5,3.5,3.5,3.4,3.4,3.4
12,United Kingdom,GBR,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,5.5,5.4,5.3,5.3,5.3,5.1,5,4.9,4.8,4.6,4.4,4.2,4.1,3.9,3.8
13,Greece,GRC,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,5.5,5.1,4.8,4.4,4.2,3.9,3.6,3.4,3.3,3.3,3.2,3.2,3.3,3.5,3.6
14,Croatia,HRV,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,7.2,6.9,6.6,6.4,6,5.8,5.5,5.3,5.1,4.9,4.7,4.5,4.5,4.3,4.2
15,Hungary,HUN,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,8.7,8.1,7.6,7.2,6.8,6.4,6.1,5.8,5.5,5.3,5.1,4.9,4.8,4.7,4.5
16,Ireland,IRL,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,6,5.8,5.4,5,4.7,4.4,4,3.9,3.7,3.6,3.5,3.4,3.4,3.3,3.2
17,Italy,ITA,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,4.7,4.5,4.3,4.1,3.9,3.8,3.7,3.6,3.5,3.4,3.4,3.3,3.2,3.1,3
18,Lithuania,LTU,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,8.6,8.2,7.9,7.6,7.4,7.2,6.9,6.5,5.9,5.3,4.9,4.5,4.2,4,4
19,Luxembourg,LUX,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,3.9,3.7,3.5,3.3,3.1,3,2.8,2.7,2.6,2.5,2.4,2.4,2.3,2.3,2.2
20,Latvia,LVA,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,11.6,10.9,10.3,9.7,9.2,8.7,8.2,7.8,7.4,7,6.6,6.2,5.7,5.2,4.7
21,Malta,MLT,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,6.8,6.6,6.4,6.3,6.2,6.1,6,5.9,5.9,5.9,5.8,5.8,5.8,5.8,5.8
22,Netherlands,NLD,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,5.1,5,4.9,4.8,4.6,4.4,4.3,4.1,4,3.8,3.7,3.6,3.6,3.5,3.5
23,Poland,POL,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,8.1,7.6,7.3,7,6.7,6.6,6.3,6,5.8,5.4,5.2,4.8,4.6,4.5,4.3
24,Portugal,PRT,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,5.5,5.2,4.7,4.3,4,3.7,3.4,3.3,3.2,3.2,3.1,3.1,3,3,3
25,Romania,ROU,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,18.3,17.7,17.4,16.9,16.3,15.2,13.7,12.2,11,10.2,9.7,9.6,9.4,9,8.4
26,Slovak Republic,SVK,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,8.2,7.9,7.6,7.3,7.1,6.8,6.6,6.4,6.1,6,5.8,5.6,5.5,5.3,5.1
27,Slovenia,SVN,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,4.6,4.4,4.1,3.9,3.7,3.5,3.3,3.1,2.9,2.8,2.6,2.4,2.3,2.2,2
28,Sweden,SWE,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,3.4,3.4,3.3,3.2,3.1,3,2.8,2.7,2.6,2.6,2.5,2.5,2.5,2.4,2.4
