,Country.Name,Country.Code,Indicator.Name,Indicator.Code,Year,Population
29,Austria,AUT,"Population, total",SP.POP.TOTL,2000,8011566
30,Belgium,BEL,"Population, total",SP.POP.TOTL,2000,10251250
31,Bulgaria,BGR,"Population, total",SP.POP.TOTL,2000,8170172
32,Cyprus,CYP,"Population, total",SP.POP.TOTL,2000,943286
33,Czech Republic,CZE,"Population, total",SP.POP.TOTL,2000,10255063
34,Germany,DEU,"Population, total",SP.POP.TOTL,2000,82211508
35,Denmark,DNK,"Population, total",SP.POP.TOTL,2000,5339616
36,Spain,ESP,"Population, total",SP.POP.TOTL,2000,40567864
37,Estonia,EST,"Population, total",SP.POP.TOTL,2000,1396985
38,Finland,FIN,"Population, total",SP.POP.TOTL,2000,5176209
39,France,FRA,"Population, total",SP.POP.TOTL,2000,60912500
40,United Kingdom,GBR,"Population, total",SP.POP.TOTL,2000,58892514
41,Greece,GRC,"Population, total",SP.POP.TOTL,2000,10805808
42,Croatia,HRV,"Population, total",SP.POP.TOTL,2000,4426000
43,Hungary,HUN,"Population, total",SP.POP.TOTL,2000,10210971
44,Ireland,IRL,"Population, total",SP.POP.TOTL,2000,3805174
45,Italy,ITA,"Population, total",SP.POP.TOTL,2000,56942108
46,Lithuania,LTU,"Population, total",SP.POP.TOTL,2000,3499536
47,Luxembourg,LUX,"Population, total",SP.POP.TOTL,2000,436300
48,Latvia,LVA,"Population, total",SP.POP.TOTL,2000,2367550
49,Malta,MLT,"Population, total",SP.POP.TOTL,2000,390087
50,Netherlands,NLD,"Population, total",SP.POP.TOTL,2000,15925513
51,Poland,POL,"Population, total",SP.POP.TOTL,2000,38258629
52,Portugal,PRT,"Population, total",SP.POP.TOTL,2000,10289898
53,Romania,ROU,"Population, total",SP.POP.TOTL,2000,22442971
54,Slovak Republic,SVK,"Population, total",SP.POP.TOTL,2000,5388720
55,Slovenia,SVN,"Population, total",SP.POP.TOTL,2000,1988925
56,Sweden,SWE,"Population, total",SP.POP.TOTL,2000,8872109
57,Austria,AUT,"Population, total",SP.POP.TOTL,2001,8042293
58,Belgium,BEL,"Population, total",SP.POP.TOTL,2001,10286570
59,Bulgaria,BGR,"Population, total",SP.POP.TOTL,2001,8009142
60,Cyprus,CYP,"Population, total",SP.POP.TOTL,2001,960282
61,Czech Republic,CZE,"Population, total",SP.POP.TOTL,2001,10216605
62,Germany,DEU,"Population, total",SP.POP.TOTL,2001,82349925
63,Denmark,DNK,"Population, total",SP.POP.TOTL,2001,5358783
64,Spain,ESP,"Population, total",SP.POP.TOTL,2001,40850412
65,Estonia,EST,"Population, total",SP.POP.TOTL,2001,1388115
66,Finland,FIN,"Population, total",SP.POP.TOTL,2001,5188008
67,France,FRA,"Population, total",SP.POP.TOTL,2001,61357430
68,United Kingdom,GBR,"Population, total",SP.POP.TOTL,2001,59119673
69,Greece,GRC,"Population, total",SP.POP.TOTL,2001,10862132
70,Croatia,HRV,"Population, total",SP.POP.TOTL,2001,4440000
71,Hungary,HUN,"Population, total",SP.POP.TOTL,2001,10187576
