unit,indic_de,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
RT,INFMORRT,AD	: 	3.6 	2.4 	3.4 	1.2 	0.0 	: 	: 	: 	: 	: 	: 
RT,INFMORRT,AL	7.6 	7.4 	6.2 	6.0 	: 	: 	: 	: 	7.9 	7.9 	7.1 	8.7 
RT,INFMORRT,AM	12.3 	13.9 	10.8 	10.7 	10.2 	11.4 	11.7 	: 	: 	8.7 	8.9 	8.7 
RT,INFMORRT,AT	4.2 	3.6 	3.7 	3.7 	3.8 	3.9 	3.6 	3.2 	3.1 	3.0 	3.1 	3.1 
RT,INFMORRT,AZ	9.3 	10.1 	11.6 	11.3 	11.4 	11.1 	10.8 	10.8 	10.8 	9.7 	12.2 	10.4 
RT,INFMORRT,BA	6.7 	7.5 	6.8 	6.9 	6.5 	6.4 	: 	5.4 	: 	: 	: 	: 
RT,INFMORRT,BE	3.7 	4.0 	3.9 	3.8 	3.5 	3.6 	3.4 	3.8 	3.5 	3.4 	3.3 	3.2 
RT,INFMORRT,BG	10.4 	9.7 	9.2 	8.6 	9.0 	9.4 	8.5 	7.8 	7.3 	7.6 	6.6 	6.5 
RT,INFMORRT,BY	7.1 	6.1 	5.2 	4.5 	4.7 	4.0 	3.8 	3.3 	: 	3.5 	3.0 	3.2 
RT,INFMORRT,CH	4.2 	4.4 	3.9 	4.0 	4.3 	3.8 	3.8 	3.6 	3.9 	3.9 	3.9 	3.6 
RT,INFMORRT,CY	4.6 	3.1 	3.7 	3.5 	3.3 	3.2 	3.1 	3.5 	1.6 	2.1 	2.7 	2.6 
RT,INFMORRT,CZ	3.4 	3.3 	3.1 	2.8 	2.9 	2.7 	2.7 	2.6 	2.5 	2.4 	2.5 	2.8 
RT,INFMORRT,DE	3.9 	3.8 	3.9 	3.5 	3.5 	3.4 	3.6 	3.3 	3.3 	3.2 	3.3 	3.4 
RT,INFMORRT,DK	4.4 	3.5 	4.0 	4.0 	3.1 	3.4 	3.5 	3.4 	3.5 	4.0 	3.7 	3.1 
RT,INFMORRT,EA18	3.9 	3.7 	3.7 	3.5 	3.6 	3.4 	3.4 	3.3 	3.3 	3.2 	3.2 	3.3 
RT,INFMORRT,EA19	3.9 	3.8 	3.7 	3.5 	3.6 	3.4 	3.4 	3.3 	3.3 	3.2 	3.3 	3.3 
RT,INFMORRT,EE	5.4 	4.4 	5.0 	5.0 	3.6 	3.3 	2.5 	3.6 	2.1 	2.7 	2.5 	2.3 
RT,INFMORRT,EL	3.8 	3.7 	3.5 	2.7 	3.1 	3.8 	3.4 	2.9 	3.7 	3.7 	4.0 	4.2 
RT,INFMORRT,ES	3.7 	3.5 	3.4 	3.3 	3.2 	3.2 	3.1 	3.1 	2.7 	2.8 	2.7 	2.7 
RT,INFMORRT,EU27	4.8 	4.6 	4.4 	4.2 	4.2 	4.0 	3.9 	3.8 	3.7 	3.6 	3.6 	3.6 
RT,INFMORRT,EU28	4.8 	4.6 	4.4 	4.2 	4.2 	4.0 	3.9 	3.8 	3.7 	3.7 	3.6 	3.6 
RT,INFMORRT,FI	3.0 	2.8 	2.7 	2.6 	2.6 	2.3 	2.4 	2.4 	1.8 	2.2 	1.7 	1.9 
